	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
995	1028.445	1020.9866	1033.072	2698672900.0	1019.599	1032.337	1031.614	1038.531	1041.66
996	1034.678	1013.6046	1029.937	3295478700.0	1033.072	1019.599	1032.337	1031.614	1038.531
997	1013.425	1006.2852	1033.234	2503877100.0	1029.937	1033.072	1019.599	1032.337	1031.614
998	998.828	997.8828	1009.597	2180075800.0	1033.234	1029.937	1033.072	1019.599	1032.337
999	997.791	992.6878	999.093	2419799100.0	1009.597	1033.234	1029.937	1033.072	1019.599
1000	993.744	985.7272	996.162	2254601900.0	999.093	1009.597	1033.234	1029.937	1033.072
1001	991.572	978.7826	993.34	2614706200.0	996.162	999.093	1009.597	1033.234	1029.937
1002	985.232	975.8764	991.222	2645560900.0	993.34	996.162	999.093	1009.597	1033.234
1003	964.16	974.3752	983.622	2082351800.0	991.222	993.34	996.162	999.093	1009.597
1004	959.395	972.3462	964.29	1603727600.0	983.622	991.222	993.34	996.162	999.093
1005	977.886	975.119	961.439	2030521500.0	964.29	983.622	991.222	993.34	996.162
1006	985.039	977.8818	978.809	2228186100.0	961.439	964.29	983.622	991.222	993.34
1007	972.389	976.1264	983.716	2189668000.0	978.809	961.439	964.29	983.622	991.222
1008	977.644	971.21	973.477	2652413800.0	983.716	978.809	961.439	964.29	983.622
1009	975.282	964.8002	978.154	2273530200.0	973.477	983.716	978.809	961.439	964.29
1010	971.089	977.8818	975.253	2432955200.0	978.154	973.477	983.716	978.809	961.439
1011	961.915	976.1264	970.032	3028636800.0	975.253	978.154	973.477	983.716	978.809
1012	943.85	971.21	959.134	2731174300.0	970.032	975.253	978.154	973.477	983.716
1013	926.559	964.8002	941.428	2112689900.0	959.134	970.032	975.253	978.154	973.477
1014	933.45	923.6278	923.451	1560025100.0	941.428	959.134	970.032	975.253	978.154
1015	921.144	922.1156	932.031	1725495900.0	923.451	941.428	959.134	970.032	975.253
1016	919.051	917.4602	920.919	1213103200.0	932.031	923.451	941.428	959.134	970.032
1017	922.439	913.9052	919.36	1205035900.0	920.919	932.031	923.451	941.428	959.134
1018	916.668	911.4968	922.378	1534265000.0	919.36	920.919	932.031	923.451	941.428
1019	908.96	907.6032	915.89	1190699900.0	922.378	919.36	920.919	932.031	923.451
1020	902.371	904.9374	908.754	894702600.0	915.89	922.378	919.36	920.919	932.031
1021	907.053	902.4734	903.144	1027397600.0	908.754	915.89	922.378	919.36	920.919
