date	open	ma5	high	close	low	volume
2015-01-13	3506.451	3555.478	3550.158	3514.04	3494.768	187153968.0
2015-01-12	3531.515	3580.881	3560.527	3513.576	3461.322	266567168.0
2015-01-09	3547.574	3606.474	3689.753	3546.723	3536.395	349982656.0
2015-01-08	3650.073	3603.871	3659.945	3559.259	3552.1	295003040.0
2015-01-07	3620.924	3583.53	3671.19	3643.79	3601.698	320191232.0
2015-01-06	3608.428	3545.863	3683.226	3641.059	3587.231	420962176.0
2015-01-05	3566.089	3506.819	3669.042	3641.541	3551.51	451198112.0
2014-12-31	3462.389	3445.594	3542.34	3533.705	3452.498	345934752.0
2014-12-30	3450.814	3384.93	3491.826	3457.554	3422.174	328233888.0
2014-12-29	3502.183	3358.404	3524.28	3455.455	3405.836	425015040.0
2014-12-26	3343.64	3346.21	3453.338	3445.839	3335.012	384614112.0
2014-12-25	3254.48	3333.675	3335.779	3335.419	3226.322	309799552.0
2014-12-24	3332.146	3335.777	3340.357	3230.385	3188.495	317449600.0
2014-12-23	3358.798	3361.819	3431.779	3324.924	3316.913	369736096.0
2014-12-22	3396.251	3357.515	3455.207	3394.481	3357.661	549801664.0
2014-12-19	3345.629	3322.064	3397.183	3383.167	3280.916	411211584.0
2014-12-18	3359.09	3284.076	3393.711	3345.927	3322.229	355970208.0
2014-12-17	3325.82	3251.493	3368.194	3360.598	3275.736	448140768.0
2014-12-16	3221.358	3223.683	3303.402	3303.402	3207.688	358123840.0
2014-12-15	3176.829	3184.385	3226.221	3217.228	3143.297	290193824.0
2014-12-12	3182.923	3191.516	3239.447	3193.227	3167.928	301065312.0
2014-12-11	3185.161	3177.847	3254.424	3183.012	3158.443	367091680.0
2014-12-10	3120.212	3162.115	3229.047	3221.546	3058.191	425018720.0
2014-12-09	3233.097	3111.316	3387.827	3106.913	3074.516	632874560.0
2014-12-08	3108.272	3074.721	3270.881	3252.881	3075.7	484462336.0
2014-12-05	3143.968	2988.107	3195.798	3124.885	3011.936	524881248.0
2014-12-04	2975.403	2924.894	3104.89	3104.351	2968.876	426812928.0
2014-12-03	2936.124	2854.922	3028.225	2967.549	2912.246	466156672.0
2014-12-02	2807.338	2806.016	2944.506	2923.94	2804.293	361465312.0
2014-12-01	2825.611	2758.34	2855.332	2819.812	2808.653	365487424.0
